"报表期起始日","报表期截止日","一、营业收入","净利息收入","其中:利息收入","利息支出","手续费及佣金净收入","其中:手续费及佣金收入","手续费及佣金支出","中间业务净收入","其中:中间业务收入","中间业务支出","净交易收入","其中:衍生金融工具交易净收入","汇兑收益","租赁收入","投资净收益","其中:对联营公司的投资收益","公允价值变动收益/(损失)","其他业务收入","特殊处理本身不平营业收入","特殊处理格式不同营业收入","二、营业支出","营业税金及附加","业务及管理费用","资产减值损失","折旧费","提取呆账准备","其他业务支出","特殊处理本身不平营业成本","特殊处理格式不同营业成本","特殊处理本身不平营业利润","特殊处理格式不同营业利润","三、营业利润","加:营业外收入","减:营业外支出","特殊处理本身不平利润总额","特殊处理格式不同利润总额","四、利润总额","减:所得税","特殊处理本身不平净利润1","特殊处理格式不同净利润1","五、净利润","少数股东权益","归属于母公司的净利润","特殊处理本身不平净利润2","特殊处理格式不同净利润2","加:年初未分配利润","其他因素调整","特殊处理本身不平可分配利润","特殊处理格式不同可分配利润","六、可供分配的利润","减:提取法定盈余公积","提取法定公益金","提取一般风险准备","提取信托赔偿准备金","其他<可分配利润>","特殊处理本身不平可供股东分配利润","特殊处理格式不同可供股东分配利润","七、可供股东分配的利润","减:应付优先股股利","提取任意盈余公积","应付普通股股利","转作股本的普通股股利","其他<可供股东分配的利润>","特殊处理本身不平未分配利润","特殊处理格式不同未分配利润","八、未分配利润","其他综合收益","归属于母公司所有者的其他综合收益","归属于少数股东的其他综合收益","综合收益总额","(一)归属于母公司所有者的综合收益总额","(二)归属于少数股东的综合收益总额","(一)基本每股收益","(二)稀释每股收益"
20170101,20170630,83354000000,51803000000,118593000000,66790000000,24154000000,26257000000,2103000000,,,,2160000000,,2160000000,,6138000000,65000000,-2172000000,1271000000,,,47374000000,741000000,19236000000,27170000000,,,227000000,,,,,35980000000,813000000,42000000,,,36751000000,8229000000,,,28522000000,357000000,28165000000,,,97316000000,,,,125481000000,,,10089000000,,,,,115392000000,825000000,15509000000,4324000000,,,,,94734000000,-3985000000,-3984000000,-1000000,24537000000,24181000000,356000000,0.97,0.97
20170101,20170331,42360000000,26519000000,58665000000,32146000000,12191000000,13132000000,941000000,,,,1015000000,,1015000000,,3669000000,34000000,-1539000000,505000000,,,23963000000,314000000,9541000000,13961000000,,,147000000,,,,,18397000000,642000000,22000000,,,19017000000,4370000000,,,14647000000,185000000,14462000000,,,,,,,14462000000,,,,,,,,14462000000,,,,,,,,14462000000,-1523000000,-1523000000,,13124000000,12939000000,185000000,0.63,0.63
20160101,20161231,160792000000,108120000000,214814000000,106694000000,40692000000,43236000000,2544000000,,,,-528000000,,-528000000,,7033000000,180000000,2812000000,2663000000,,,91132000000,4444000000,37238000000,49104000000,,,346000000,,,,,69660000000,459000000,144000000,,,69975000000,16297000000,,,53678000000,579000000,53099000000,,,90670000000,,,,143769000000,,,19569000000,,,,,124200000000,1725000000,15038000000,10121000000,,,,,97316000000,-5479000000,-5480000000,1000000,48199000000,47619000000,580000000,2.404,2.404
20160101,20160930,120928000000,81850000000,161298000000,79448000000,31140000000,32652000000,1512000000,,,,449000000,,449000000,,4202000000,140000000,1153000000,2134000000,,,67416000000,3898000000,25851000000,37485000000,,,182000000,,,,,53512000000,226000000,49000000,,,53689000000,12551000000,,,41138000000,456000000,40682000000,,,,,,,40682000000,,,,,,,,40682000000,,,,,,,,40682000000,-2099000000,-2099000000,,39039000000,38583000000,456000000,1.873,1.873
20160101,20160630,82172000000,55115000000,108144000000,53029000000,22288000000,23248000000,960000000,,,,-1183000000,,-1183000000,,3710000000,95000000,798000000,1444000000,,,46933000000,3550000000,16728000000,26512000000,,,143000000,,,,,35239000000,109000000,26000000,,,35322000000,8282000000,,,27040000000,270000000,26770000000,,,90670000000,,,,117440000000,,,19553000000,,,,,97887000000,825000000,15038000000,10121000000,,,,,71903000000,-2556000000,-2556000000,,24484000000,24214000000,270000000,1.229,1.229
20160101,20160331,42191000000,27812000000,55643000000,27831000000,11618000000,12060000000,442000000,,,,-94000000,,-94000000,,1969000000,47000000,41000000,845000000,,,23758000000,2409000000,7948000000,13285000000,,,116000000,,,,,18433000000,32000000,14000000,,,18451000000,4416000000,,,14035000000,113000000,13922000000,,,,,,,13922000000,,,,,,,,13922000000,,,,,,,,13922000000,-1651000000,-1651000000,,12384000000,12271000000,113000000,0.696,0.696
20150101,20151231,146550000000,113009000000,228254000000,115245000000,27798000000,29313000000,1515000000,,,,-713000000,,-713000000,,461000000,159000000,2991000000,3004000000,,,80483000000,8976000000,32034000000,38795000000,,,678000000,,,,,66067000000,983000000,173000000,,,66877000000,15880000000,,,50997000000,393000000,50604000000,,,78157000000,,,,128761000000,4668000000,,9066000000,,,,,115027000000,900000000,9336000000,14121000000,,,,,90670000000,4454000000,4458000000,-4000000,55451000000,55062000000,389000000,2.665,2.665
20150101,20150930,108632000000,82529000000,170532000000,88003000000,21222000000,22274000000,1052000000,,,,-869000000,,-869000000,,498000000,139000000,3000000000,2252000000,,,60271000000,6701000000,22109000000,30950000000,,,511000000,,,,,48361000000,688000000,59000000,,,48990000000,11515000000,,,37475000000,313000000,37162000000,,,,,,,37162000000,,,,,,,,37162000000,,,,,,,,37162000000,2095000000,2095000000,,39570000000,39257000000,313000000,1.992,1.992
20150101,20150630,70701000000,52940000000,112414000000,59474000000,14693000000,15305000000,612000000,,,,-466000000,,-466000000,,689000000,91000000,1435000000,1410000000,,,39490000000,4493000000,14292000000,20292000000,,,413000000,,,,,31211000000,359000000,44000000,,,31526000000,7400000000,,,24126000000,223000000,23903000000,,,78157000000,,,,102060000000,4668000000,,9059000000,,,,,88333000000,,9336000000,14121000000,,,,,64876000000,785000000,785000000,,24911000000,24688000000,223000000,1.281,1.281
20150101,20150331,32991000000,24679000000,55460000000,30781000000,6932000000,7247000000,315000000,,,,245000000,,245000000,,731000000,27000000,-132000000,536000000,,,18305000000,2274000000,6484000000,9313000000,,,234000000,,,,,14686000000,141000000,33000000,,,14794000000,3485000000,,,11309000000,115000000,11194000000,,,,,,,11194000000,,,,,,,,11194000000,,,,,,,,11194000000,-829000000,-829000000,,10480000000,10365000000,115000000,0.6,0.6
