"报表日期","货币资金","交易性金融资产","应收票据","应收账款","预付款项","应收保费","应收利息","应收股利","其他应收款","应收出口退税","应收补贴款","应收保证金","内部应收款","存货","待摊费用","待处理流动资产损益","一年内到期的非流动资产","其他流动资产","特殊处理本身不平流动资产","特殊处理格式不同流动资产","流动资产合计","发放贷款及垫款","可供出售金融资产","持有至到期投资","长期应收款","长期股权投资","其他长期投资","投资性房地产","固定资产原值","累计折旧","固定资产净值","固定资产减值准备","固定资产净额","在建工程","工程物资","固定资产清理","生产性生物资产","公益性生物资产","油气资产","无形资产","开发支出","商誉","长期待摊费用","股权分置流通权","递延所得税资产","其他非流动资产","特殊处理本身不平非流动资产","特殊处理格式不同非流动资产","非流动资产合计","特殊处理本身不平总资产","特殊处理格式不同总资产","资产总计","短期借款","交易性金融负债","应付票据","应付账款","预收款项","应付职工薪酬","应交税费","应付利息","应付股利","其他应交款","应付保证金","内部应付款","其他应付款","预提费用","预计流动负债","应付分保账款","国际票证结算","国内票证结算","一年内的递延收益","应付短期债券","一年内到期的非流动负债","其他流动负债","特殊处理本身不平流动负债","特殊处理格式不同流动负债","流动负债合计","长期借款","应付债券","长期应付款","专项应付款","预计非流动负债","长期递延收益","递延所得税负债","其他非流动负债","特殊处理本身不平长期负债","特殊处理格式不同长期负债","非流动负债合计","特殊处理本身不平负债合计","特殊处理格式不同负债合计","负债合计","实收资本(或股本)","资本公积","减：库存股","专项储备","盈余公积","一般风险准备","未确定的投资损失","未分配利润","拟分配现金股利","外币报表折算差额","特殊处理本身不平股东权益","特殊处理格式不同股东权益","归属于母公司股东权益合计","少数股东权益","特殊处理本身不平股东权益","特殊处理格式不平股东权益","所有者权益(或股东权益)合计","特殊处理本身不平负债及权益","特殊处理格式不同负债及权益","负债和所有者权益","结算备付金","拆出资金","衍生金融资产","应收分保账款","应收分保合同准备金","买入返售金融资产","向中央银行借款","吸收存款及同业存放","拆入资金","衍生金融负债","卖出回购金融资产款","应付手续费及佣金","保险合同准备金","代理买卖证券款","代理承销证券款"
20170630,5384305561.7,11970,42920000,5160301322.8,35973398.08,,21997793.2,428155104.47,143760568.28,,,,,441766784.16,,,,2828813046.12,,,14488820859.81,,9405575473.83,,,14546210678.16,,75357558.27,333479346200.46,77824474842.78,255654871357.68,,255654871357.68,5772068754.04,89521520.37,,,,,161520346.98,,,,,63515346.42,1252032257.53,,,287020673293.28,,,301509494153.09,24820000000,296115898.94,53323798.07,88763738.27,46575645.9,95366999.52,1481363817.86,1098934496.61,15687500000,,,,20638077936.99,,,,,,,,22076401798.88,,,,86382424131.04,17200000000,27700050650.52,47910849606.84,,,,1124680597.41,,,,93935580854.77,,,180318004985.81,22000000000,44319141620.16,,,19463936245.63,,,31459562556.92,,,,,120778009289.26,413479878.02,,,121191489167.28,,,301509494153.09,,,,,,,,,,,,,,,
20170331,3672300552.78,84100,75083623.05,3372686279.93,35551412.52,,5747869.05,,119533154.64,,,,,439422831.41,,,,3545039580.38,,,11285447856.17,,9140295871.79,,,13968008528.59,,76171651.94,,,,,258715698952.46,5708188472.15,91353840.72,,,,,164990312.5,,,,,56240934.41,1275399143.18,,,289196347707.74,,,300481795563.91,23920000000,352818603.22,66758761.65,126555829.09,78502751.14,90315352.56,742239787.27,814343184.04,,,,,20982141191.56,,,,,,,,17579314542.96,,,,64752990003.49,20351253355.38,31663099541.46,50949801691.79,,,,1160098643.18,,,,104124253231.81,,,168877243235.3,22000000000,44226454317.65,,,19463936245.63,,,41750247699.15,,,,,131208256796.76,396295531.85,,,131604552328.61,,,300481795563.91,,,,,,,,,,,,,,,
20161231,3379074909.02,92880,86967495.25,3110657083.26,34519815.24,,640062.5,,665944648.98,,,,,438880908.13,,,,1338292967.04,,,9075069221.83,,7114612797.87,,,13097435538.57,,76621558.61,333479494290.13,71697333165.8,261782161124.33,,261782161124.33,5688066428.55,90996180.64,,,,,167718022.86,,,,,55233989.57,1747017075.57,,,289819862716.57,,,298894931938.4,16300000000,351719401.47,102359148.79,146393077.89,96941751.67,90168894.28,1309230305.77,663050090.57,,,,,21383192180.14,,,,,,,,17669257618.09,3998288888.89,,,62110601357.56,26852435923,27655276169.59,52688753776.74,,,,1061502472.65,,,,108257968341.98,,,170368569699.54,22000000000,44252595253.07,,,19463936245.63,,,39042244267.58,,,,,128199184968.18,327177270.68,,,128526362238.86,,,298894931938.4,,,,,,,,,,,,,,,
20160930,4232903383.64,85460,106000000,5436460684.89,19946049.26,,581875,148560492.65,145199031.66,,,,,518866318.27,,,,300000000,,,10908603295.37,,6241993966.48,,,12822968788.41,,77344600.28,,,,,264793373558.66,5420677980.63,103602074.71,,,,,167549447.63,,,,,25016803.62,1745483632.19,,,291398010852.61,,,302306614147.98,19435414631.23,,38934573.61,116575066.51,69778671.79,79793719.59,1059128642.39,489771638.04,,,,,21730490523.99,,,,,,,,20861203420.84,4002640000,,,67883730887.99,28346462797.11,25404340436.19,55427705861.69,,,,962922677.29,,,,110141431772.28,,,178025162660.27,22000000000,43933998781.83,,,17779369562.28,,,37144327386.51,,,,,123943706581.78,337744905.93,,,124281451487.71,,,302306614147.98,,,,,,,,,,,,,,,
20160630,6220327500.12,35175,90950000,5816845730.99,20409774.96,,581875,476508644.72,154182597.73,,,,,513784611.57,,,,322500000,,,13616125910.09,,5520647509.14,,,11620045563.14,,77885557.95,333222874290.05,65618028946.12,267604845343.93,,267604845343.93,5635416705.47,108602471.86,,,,,169908049.46,,,,,25176529.1,490000000,,,291252527730.05,,,304868653640.14,15500000000,,12056589.66,86735071.32,98806781.59,76899032.25,1135673599.35,1172828338.85,7853110000,,,,22022804435.38,,,,,,,,24677380207.18,10998873806.9,,,83635167862.48,26872696501.4,21412682680.7,57666657946.64,,,,810853238.39,,,,106762890367.13,,,190398058229.61,22000000000,43661387639.69,,,17779369562.28,,,28486465606.44,,,,,114430619527.28,39975883.25,,,114470595410.53,,,304868653640.14,,,,,,,,,,,,,,,
20160331,4279060435.8,,75350000,1853912532.38,10160880.56,,,102076909.56,210997884.19,,,,,403055700.45,,,,,,,6934614342.94,,5081087200.26,,,11363581195.79,,78517553.62,,,,,117345520338.72,334714395.81,,,,,,64014364.87,,,,,24432806.88,,,,134291867855.95,,,141226482198.89,4000000000,,93586995.92,120765205.03,91457275.95,72412248.37,528566971.47,704546202.9,,,,,594977329.29,,,,,,,,3279096114.26,6993665755.9,,,16479074099.09,9670182362.41,21408154508.42,,,,,746886800.48,,,,31825223671.31,,,48304297770.4,16500000000,28549171977.42,,,15851697987.1,,,29608224314.39,,,,,92883450440.7,38733987.79,,,92922184428.49,,,141226482198.89,,,,,,,,,,,,,,,
20151231,3855882291.2,99545,109150000,1648153422.24,7000399.48,,,10224109.56,61932323.95,,,,,402135272.59,,,,,,,6094577364.02,,5408115118.39,,,11156927719.29,,79149552.38,165082726686.56,46230861670.73,118851865015.83,,118851865015.83,316944250.76,,,,,,66437773.87,,,,,23878842.52,,,,135903318273.04,,,141997895637.06,,,112544771.03,142606536.43,88658056.53,74673333.36,790681443.67,411684025.17,,,,,729735291.37,,,,,,,,13303863545.96,2993737704.91,,,18648184708.43,12745281287.59,18419337337.79,,,,,829726833.75,,,,31994345459.13,,,50642530167.56,16500000000,28549171977.42,,,15851697987.1,,,27719522393.64,,,,,91323134638.56,32230830.94,,,91355365469.5,,,141997895637.06,,,,,,,,,,,,,,,
20150930,2440949322.85,,95390000,3830210444.41,14958488.86,,,82816652.37,499026654.55,,,,,434159102.54,,,,,,,7397510665.58,,5185633498.35,,,10488108892.8,,47585661.59,,,,,120239828136.32,310007080.53,,,,,,61591299.24,,,,,18650189.34,83226444,,,136434631202.17,,,143832141867.75,,,87631386.9,123437605.65,76911662.06,63898941.58,1542440438.39,352140162.79,,,,,742723362.45,,,,,,,,11321719617.87,5987995433.78,,,20298898611.47,12790283134.01,21434749974.23,,,,,773502421.89,,,,34998535530.13,,,55297434141.6,16500000000,27835798070.34,,,13578390377.98,,,27966080698.11,,,,,88532293357.83,2414368.32,,,88534707726.15,,,143832141867.75,,,,,,,,,,,,,,,
20150630,1605683707.55,,87690000,2865379616.56,18722075.14,,,475266265.88,370504399.47,,,,,426146929.9,,,,,,,5849392994.5,,6748707080.64,,,9891082161.19,,47944539.26,164723637997.77,43236975286.51,121486662711.26,,121486662711.26,537764142.94,,,,,,64316903.55,,,,,18602796.99,83226444,,,138878306779.83,,,144727699774.33,2000000000,,75196352.45,97149598.96,58367950.94,64326907.23,1162216964.26,950879734.67,,,,,634008157.07,,,,,,,,5809192312.22,5992753424.65,,,16844091402.45,22874829286.45,18430987456.47,,,,,1117842784.97,,,,42423659527.89,,,59267750930.34,16500000000,27836494492.1,,,13578390377.98,,,23672967509.95,,,,,85457496964.35,2451879.64,,,85459948843.99,,,144727699774.33,,,,,,,,,,,,,,,
20150331,5443699898.34,,100340000,1703424502.04,17228051.44,,,,192886708.72,,,,,425715017.78,,,,,,,7883294178.32,,6214031655.06,,,9764466661.15,,48303416.93,,,,,123003188406.24,407681144.15,,,,,,72593380.19,,,,,17092264.34,83226444,,,139610583372.06,,,147493877550.38,,,82962425.37,105720809.45,67003644.93,59859641.91,580821914.73,805235007.47,,,,,699064821.43,,,,,,,,5832127808.09,8995232876.7,,,17228028950.08,22924859853.25,18427241029.94,,,,,1005464328.53,,,,42357565211.72,,,59585594161.8,16500000000,27816521305.26,,,13578390377.98,,,26614772157.54,,,,,87905946312.06,2337076.52,,,87908283388.58,,,147493877550.38,,,,,,,,,,,,,,,
