"报表期起始日","报表期截止日","销售商品、提供劳务收到的现金","客户存款和同业存放款项净增加","向中央银行借款净增加额","向其他金融机构拆入资金净增加","收到原保险合同保费取得的现金","收到再保险业务现金净额","保户储金及投资款净增加额","处置交易性金融资产净增加额","收取利息、手续费及佣金的现金","拆入资金净增加额","回购业务资金净增加额","收到的税费返还","收到的其他与经营活动有关的现","特殊处理本身不平经营流入","特殊处理格式不同经营流入","经营活动现金流入小计","购买商品、接受劳务支付的现金","客户贷款及垫款净增加额","存放中央银行和同业款项净增加","支付原保险合同赔付款项的现金","支付利息、手续费及佣金的现金","支付保单红利的现金","支付给职工以及为职工支付的现","支付的各项税费","支付的其他与经营活动有关的现","特殊处理本身不平经营流出","特殊处理格式不同经营流出","经营活动现金流出小计","特殊处理本身不平经营净额","特殊处理格式不同经营净额","一、经营活动产生的现金流量净","收回投资所收到的现金","取得投资收益收到的现金","处置固定资产、无形资产和其他","处置子公司及其他营业单位收到","收到的其他与投资活动有关的现","减少质押和定期存款所收到的现","特殊处理本身不平投资流入","特殊处理格式不同投资流入","投资活动现金流入小计","购建固定资产、无形资产和其他","投资所支付的现金","质押贷款净增加额","取得子公司及其他营业单位支付","支付的其他与投资活动有关的现","增加质押和定期存款所支付的现","特殊处理本身不平投资流出","特殊处理格式不同投资流出","投资活动现金流出小计","特殊处理本身不平投资净额","特殊处理格式不同投资净额","二、投资活动产生的现金流量净","吸收投资收到的现金","其中：子公司吸收少数股东投资","取得借款收到的现金","发行债券收到的现金","收到其他与筹资活动有关的现金","特殊处理本身不平筹资流入","特殊处理格式不同筹资流入","筹资活动现金流入小计","偿还债务支付的现金","分配股利、利润或偿付利息所支","其中：子公司支付给少数股东的","支付其他与筹资活动有关的现金","特殊处理本身不平筹资流出","特殊处理格式不同筹资流出","筹资活动现金流出小计","特殊处理本身不平筹资净额","特殊处理格式不同筹资净额","三、筹资活动产生的现金流量净","四、汇率变动对现金及现金等价","特殊处理本身不平现金净额","特殊处理格式不同现金净额","五、现金及现金等价物净增加额","期初现金及现金等价物余额","特殊处理本身不平现金期末","特殊处理格式不同现金期末","六、期末现金及现金等价物余额","净利润","少数股东权益","未确认的投资损失","资产减值准备","固定资产折旧、油气资产折耗、","投资性房地产折旧、摊销","无形资产摊销","长期待摊费用摊销","待摊费用的减少","预提费用的增加","处置固定资产、无形资产和其他","固定资产报废损失","公允价值变动损失","递延收益增加（减：减少）","预计负债","财务费用","投资损失","递延所得税资产减少","递延所得税负债增加","存货的减少","经营性应收项目的减少","经营性应付项目的增加","已完工尚未结算款的减少(减:","已结算尚未完工款的增加(减:","其他","特殊处理本身不平经营净额附表","特殊处理格式不同经营净额附表","经营活动产生现金流量净额","债务转为资本","一年内到期的可转换公司债券","融资租入固定资产","现金的期末余额","现金的期初余额","现金等价物的期末余额","现金等价物的期初余额","特殊处理本身不平现金净额附表","特殊处理格式不同现金净额附表","现金及现金等价物的净增加额"
20170101,20170630,136786000000,2233000000,,,,,,,805000000,,,16000000,2748000000,,48000000,142636000000,57060000000,,,,102000000,,8730000000,26734000000,2373000000,,,94999000000,,,47637000000,35491000000,318000000,1888000000,,3130000000,,,,40827000000,10627000000,26230000000,,,2021000000,,,,38878000000,,,1949000000,610000000,,9487000000,,25000000,,,10122000000,8886000000,3613000000,1510000000,,,,12499000000,,,-2377000000,-62000000,,,47147000000,41188000000,,,88335000000,28568000000,,,386000000,10705000000,,837000000,261000000,,,-456000000,,1000000,,,2039000000,-899000000,41000000,,415000000,-2248000000,5314000000,,,,,2673000000,47637000000,,,,88335000000,41188000000,,,,,47147000000
20170101,20170331,69731000000,480000000,,,,,,,347000000,,,12000000,1187000000,,677000000,72434000000,27909000000,,,,45000000,,4521000000,12629000000,2347000000,,,47451000000,,,24983000000,35000000000,588000000,106000000,,2186000000,,,,37880000000,3073000000,18054000000,,,281000000,,,,21408000000,,,16472000000,489000000,,3242000000,,,,,3731000000,1994000000,2346000000,1376000000,0,,,4340000000,,,-609000000,202000000,,,41048000000,41189000000,,,82237000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82237000000,41189000000,,,,,41048000000
20160101,20161231,228041000000,,,,,,,,1439000000,,,46000000,5761000000,,,235287000000,83903000000,868000000,,,244000000,,20514000000,32730000000,4137000000,,11008000000,153404000000,,,81883000000,47000000,1096000000,649000000,,2674000000,,,,4466000000,29058000000,33506000000,,,6556000000,,,,69120000000,,,-64654000000,1111000000,1111000000,28037000000,,435000000,,,29583000000,29927000000,18146000000,6181000000,,,,48073000000,,,-18490000000,126000000,,,-1135000000,42323000000,,,41188000000,29536000000,,,2807000000,21346000000,,1534000000,1065000000,,,304000000,,-2000000,,,5059000000,-302000000,-1179000000,,-1076000000,22277000000,-2800000000,,,,,3314000000,81883000000,,,,41188000000,42323000000,,,,,-1135000000
20160101,20160930,161422000000,0,,,,,,,995000000,,,36000000,3841000000,,,166294000000,53670000000,668000000,,,191000000,,12863000000,24463000000,2850000000,,9415000000,104120000000,,,62174000000,40000000,428000000,338000000,,1109000000,,,,1915000000,13790000000,38000000,,,4464000000,,,,18292000000,,,-16377000000,743000000,743000000,18319000000,0,0,,,19062000000,17717000000,15889000000,5324000000,309000000,,,33915000000,,,-14853000000,65000000,,,31009000000,42323000000,,,73332000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73332000000,42323000000,,,,,31009000000
20160101,20160630,103384000000,,,,,,,,620000000,,,33000000,2580000000,,68000000,106685000000,31550000000,,,,124000000,,8382000000,15793000000,2091000000,,10538000000,68478000000,,,38207000000,,173000000,244000000,,387000000,,,,804000000,8975000000,38000000,,,2585000000,,,,11598000000,,,-10794000000,240000000,,15501000000,,,,,15741000000,14577000000,4438000000,1843000000,,,309000000,19324000000,,,-3583000000,36000000,,,23866000000,42323000000,,,66189000000,13677000000,,,5000000,10741000000,,722000000,206000000,,,147000000,,-11000000,,,2799000000,-52000000,90000000,,-1376000000,16842000000,-7156000000,,,,,1573000000,38207000000,,,,66189000000,42323000000,,,,,23866000000
20160101,20160331,48856000000,0,,,,,,,256000000,,,13000000,989000000,,906000000,51020000000,17605000000,0,,,62000000,,4428000000,7986000000,716000000,,4998000000,35795000000,,,15225000000,0,95000000,2000000,,332000000,,,,429000000,3026000000,5000000,,,1066000000,,,,4097000000,,,-3668000000,416000000,,7684000000,0,0,,,8100000000,8387000000,1330000000,168000000,309000000,,,10026000000,,,-1926000000,-5000000,,,9626000000,42323000000,,,51949000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51949000000,42323000000,,,,,9626000000
20150101,20151231,188284000000,5748000000,,,,,,,1241000000,,,43000000,7126000000,,2376000000,204818000000,87375000000,,,,300000000,,20034000000,37480000000,4223000000,,,149412000000,,,55406000000,400000000,899000000,640000000,,3287000000,,,,5226000000,29876000000,48000000,,,1425000000,,,,31349000000,,,-26123000000,2288000000,2288000000,26458000000,24034000000,,,,52780000000,42756000000,27791000000,7343000000,4000000,,5386000000,75937000000,,,-23157000000,235000000,,,6361000000,35962000000,,,42323000000,23264000000,,,5773000000,20520000000,,1479000000,1626000000,,,-17000000,,6000000,,,4669000000,-644000000,-620000000,,2214000000,-4749000000,-669000000,,,,,2554000000,55406000000,,,,42323000000,35962000000,,,,,6361000000
20150101,20150930,138792000000,2891000000,,,,,,,946000000,,,35000000,4288000000,,1010000000,147962000000,67374000000,0,,,228000000,,12761000000,27162000000,4295000000,,,111820000000,,,36142000000,400000000,913000000,66000000,,845000000,,,,2224000000,15676000000,48000000,,,1478000000,,,,17202000000,,,-14978000000,1425000000,1425000000,17520000000,24034000000,700000000,,,43679000000,28896000000,25025000000,6245000000,4000000,,,53925000000,,,-10246000000,168000000,,,11086000000,35956000000,,,47042000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47042000000,35956000000,,,,,11086000000
20150101,20150630,95105000000,8220000000,,,,,,,631000000,,,29000000,2462000000,,859000000,107306000000,45595000000,,,,135000000,,8484000000,19280000000,2901000000,,,76395000000,,,30911000000,400000000,553000000,23000000,,578000000,,,,1554000000,10692000000,28000000,,,2457000000,,,,13177000000,,,-11623000000,296000000,,10909000000,24034000000,700000000,,,35939000000,24077000000,15511000000,1190000000,4000000,,,39592000000,,,-3653000000,-6000000,,,15629000000,35956000000,,,51585000000,16071000000,,,395000000,9645000000,,615000000,346000000,,,39000000,,1000000,,,1747000000,-256000000,-239000000,,-2094000000,-2930000000,6022000000,,,,,1549000000,30911000000,,,,51585000000,35956000000,,,,,15629000000
20150101,20150331,47050000000,1363000000,,,,,,,323000000,,,1000000,919000000,,110000000,49766000000,24608000000,,,,61000000,,4600000000,8727000000,1775000000,,,39771000000,,,9995000000,402000000,180000000,22000000,,72000000,,,,676000000,4792000000,3000000,,,1031000000,,,,5826000000,,,-5150000000,77000000,,3089000000,19213000000,700000000,,,23079000000,16038000000,1454000000,138000000,4000000,,,17496000000,,,5583000000,1000000,,,10429000000,35956000000,,,46385000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46385000000,35956000000,,,,,10429000000
