"报表期起始日","报表期截止日","营业总收入","营业收入","利息收入","已赚保费","手续费及佣金收入","房地产销售收入","其他业务收入","特殊处理本身不平营业总收入","特殊处理格式不同营业总收入","营业总成本","营业成本","利息支出","手续费及佣金支出","房地产销售成本","研发费用","退保金","赔付支出净额","提取保险合同准备金净额","保单红利支出","分保费用","其他业务成本","营业税金及附加","销售费用","管理费用","财务费用","资产减值损失","特殊处理本身不平营业总成本","特殊处理格式不同营业总成本","公允价值变动收益","投资收益","其中:对联营企业和合营企业的投资收益","汇兑收益","期货损益","托管收益","补贴收入","其他业务利润","特殊处理本身不平营业利润","特殊处理格式不同营业利润","营业利润","营业外收入","营业外支出","非流动资产处置损失","特殊处理本身不平利润总额","特殊处理格式不同利润总额","利润总额","所得税费用","未确认投资损失","特殊处理本身不平净利润1","特殊处理格式不同净利润1","净利润","归属于母公司所有者的净利润","被合并方在合并前实现净利润","少数股东损益","特殊处理本身不平净利润2","特殊处理格式不同净利润2","基本每股收益","稀释每股收益","其他综合收益","归属于母公司所有者的其他综合收益","归属于少数股东的其他综合收益","综合收益总额","归属于母公司所有者的综合收益总额","归属于少数股东的综合收益总额","年初未分配利润","减少注册资本减少的未分配利润","其他转入","可分配利润","提取法定盈余公积","提取公益金","提取资本公积金","提取职工奖福基金","提取储备基金","提取企业发展基金","利润归还投资","补充流动资本","可供股东分配的利润","应付优先股股利","提取任意公积","应付普通股股利","转作资本股本的普通股股利","未分配利润","出售处置部门或被投资单位所得收益","自然灾害发生的损失","会计政策变更增加减少利润总额","会计估计变更增加减少利润总额","债务重组损失","其他补充资料"
20170101,20170630,120518000000,120518000000,,,,,,,,86445000000,69921000000,,,,,,,,,,,4870000000,285000000,8944000000,2039000000,386000000,,,-1000000,899000000,223000000,,,,,,,,35089000000,867000000,147000000,4000000,,,35809000000,7241000000,,,,28568000000,24315000000,,4253000000,,,1.22,1.22,29000000,41000000,-12000000,28597000000,24356000000,4241000000,,,,,,,,,,,,,,,,,,,,,,,,
20170101,20170331,61062000000,61062000000,,,,,,,,43945000000,35502000000,,,,,,,,,,,2494000000,154000000,4785000000,1028000000,-18000000,,,-2000000,384000000,33000000,,,,,,,,17499000000,234000000,48000000,2000000,,,17685000000,3442000000,,,,14243000000,12235000000,,2008000000,,,0.62,0.62,96000000,98000000,-2000000,14339000000,12333000000,2006000000,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20161231,183127000000,183127000000,,,,,,,,144099000000,110769000000,,,,,,,,,,,6922000000,610000000,17932000000,5059000000,2807000000,,,2000000,302000000,237000000,,,,,,,,39332000000,1485000000,1921000000,409000000,,,38896000000,9360000000,,,,29536000000,22712000000,,6824000000,,,1.14,1.14,392000000,362000000,30000000,29928000000,23074000000,6854000000,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160930,124803000000,124803000000,,,,,,,,94750000000,73457000000,,,,,,,,,,,3883000000,388000000,13045000000,3952000000,25000000,,,13000000,201000000,148000000,,,,,,,,30267000000,1040000000,631000000,169000000,,,30676000000,7170000000,,,,23506000000,17307000000,,6199000000,,,0.87,0.87,235000000,223000000,12000000,23741000000,17530000000,6211000000,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160630,78723000000,78723000000,,,,,,,,60646000000,46623000000,,,,,,,,,,,2465000000,253000000,8501000000,2799000000,5000000,,,11000000,52000000,35000000,,,,,,,,18140000000,705000000,425000000,159000000,,,18420000000,4743000000,,,,13677000000,9828000000,,3849000000,,,0.49,0.49,148000000,139000000,9000000,13825000000,9967000000,3858000000,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160331,39402000000,39402000000,,,,,,,,30527000000,23518000000,,,,,,,,,,,1284000000,127000000,4368000000,1253000000,-23000000,,,9000000,34000000,10000000,,,,,,,,8918000000,67000000,178000000,103000000,,,8807000000,2243000000,,,,6564000000,4607000000,,1957000000,,,0.23,0.23,73000000,76000000,-3000000,6637000000,4683000000,1954000000,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20151231,177069000000,177069000000,,,,,,,,145619000000,110427000000,,,,,,,,,,,5833000000,584000000,18333000000,4669000000,5773000000,,,-6000000,644000000,428000000,,,,,,,,32088000000,1896000000,902000000,276000000,,,33082000000,9818000000,,,,23264000000,16144000000,774000000,7120000000,,,0.81,0.81,149000000,134000000,15000000,23413000000,16278000000,7135000000,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150930,131446000000,131446000000,,,,,,,,102384000000,80799000000,,,,,,,,,,,4582000000,377000000,13203000000,3029000000,394000000,,,1000000,439000000,250000000,,,,,,,,29502000000,908000000,431000000,120000000,,,29979000000,7099000000,,,,22880000000,16555000000,,6325000000,,,0.83,0.83,22000000,12000000,10000000,22902000000,16567000000,6335000000,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150630,87783000000,87783000000,,,,,,,,67274000000,53228000000,,,,,,,,,,,3061000000,261000000,8582000000,1747000000,395000000,,,-1000000,256000000,128000000,,,,,,,,20764000000,361000000,260000000,61000000,,,20865000000,4794000000,,,,16071000000,11727000000,,4344000000,,,0.59,0.59,82000000,84000000,-2000000,16153000000,11811000000,4342000000,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150331,39911000000,39911000000,,,,,,,,30294000000,24037000000,,,,,,,,,,,1474000000,133000000,3905000000,747000000,-2000000,,,1000000,138000000,77000000,,,,,,,,9756000000,127000000,63000000,0,,,9820000000,2164000000,,,,7656000000,5690000000,,1966000000,,,0.29,0.29,-160000000,-161000000,1000000,7496000000,5529000000,1967000000,,,,,,,,,,,,,,,,,,,,,,,,
