"报表期起始日","报表期截止日","营业总收入","营业收入","利息收入","已赚保费","手续费及佣金收入","房地产销售收入","其他业务收入","特殊处理本身不平营业总收入","特殊处理格式不同营业总收入","营业总成本","营业成本","利息支出","手续费及佣金支出","房地产销售成本","研发费用","退保金","赔付支出净额","提取保险合同准备金净额","保单红利支出","分保费用","其他业务成本","营业税金及附加","销售费用","管理费用","财务费用","资产减值损失","特殊处理本身不平营业总成本","特殊处理格式不同营业总成本","公允价值变动收益","投资收益","其中:对联营企业和合营企业的投资收益","汇兑收益","期货损益","托管收益","补贴收入","其他业务利润","特殊处理本身不平营业利润","特殊处理格式不同营业利润","营业利润","营业外收入","营业外支出","非流动资产处置损失","特殊处理本身不平利润总额","特殊处理格式不同利润总额","利润总额","所得税费用","未确认投资损失","特殊处理本身不平净利润1","特殊处理格式不同净利润1","净利润","归属于母公司所有者的净利润","被合并方在合并前实现净利润","少数股东损益","特殊处理本身不平净利润2","特殊处理格式不同净利润2","基本每股收益","稀释每股收益","其他综合收益","归属于母公司所有者的其他综合收益","归属于少数股东的其他综合收益","综合收益总额","归属于母公司所有者的综合收益总额","归属于少数股东的综合收益总额","年初未分配利润","减少注册资本减少的未分配利润","其他转入","可分配利润","提取法定盈余公积","提取公益金","提取资本公积金","提取职工奖福基金","提取储备基金","提取企业发展基金","利润归还投资","补充流动资本","可供股东分配的利润","应付优先股股利","提取任意公积","应付普通股股利","转作资本股本的普通股股利","未分配利润","出售处置部门或被投资单位所得收益","自然灾害发生的损失","会计政策变更增加减少利润总额","会计估计变更增加减少利润总额","债务重组损失","其他补充资料"
20170101,20170630,70020658614.1,69184521572.7,835235817.38,,901224.02,,,,,59276586202.48,47088854786.51,20985447.13,307950.5,,,,,,,,,645319780.75,8534324179.54,2885516176.39,-191861526.82,293139408.48,,,40818654.3,164035604.9,3587105.77,,,,,,,,10948926670.82,247365165.96,8596332.15,6614490.33,,,11187695504.63,1684326860.84,,,,9503368643.79,9452483299.68,,50885344.11,,,1.57,1.57,-31742960.49,-29903711.04,-1839249.45,9471625683.3,9422579588.64,49046094.66,,,,,,,,,,,,,,,,,,,,,,,,
20170101,20170331,30035264556.37,29681504457.41,352927527.93,,832571.03,,,,,25704238098.92,19479983199.16,5710217.89,112727.8,,,,,,,,,218065101.17,4440423064.52,1386308422.62,-68719543.61,242354909.37,,,326713790.27,29906642.49,-1555329.69,,,,,,,,4687646890.21,61159806.15,6542186.15,5045972.44,,,4742264510.21,705896166.28,,,,4036368343.93,4014536499.66,,21831844.27,,,0.67,0.67,-12821425.49,-11916809.62,-904615.87,4023546918.44,4002619690.04,20927228.4,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20161231,110113101850.23,108302565293.7,1809581651.68,,954904.85,,,,,91529379824.61,72885641217,93317462.31,333542.6,,,,,,,,,1430404246.95,16477265963.04,5488955551.2,-4845546598.04,-991560.45,,,1093332134.65,-2221356324.55,8034445.96,,,,,,,,17455697835.72,1096234774.23,20742533.35,15083762.45,,,18531190076.6,3006555172.73,,,,15524634903.87,15420964990.94,,103669912.93,,,2.56,2.56,-54469476.32,-52243487.58,-2225988.74,15470165427.55,15368721503.36,101443924.19,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160930,83770760393.52,82428711390.07,1341172314.31,,876689.14,,,,,69734027443.55,54303811258.57,81773010.42,236378.35,,,,,,,,,637533397.88,14067453021.93,4082608732.87,-3484545162.04,45156805.57,,,771124525.69,-1899053961.8,4778716.02,,,,,,,,12908803513.86,573304025.92,6239393.27,3098572.47,,,13475868146.51,2172802794.08,,,,11303065352.43,11229059260.85,,74006091.58,,,1.87,1.87,15165450.85,15771811.66,-606360.81,11318230803.28,11244831072.51,73399730.77,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160630,50091306364.92,49182820076.69,907727691.44,,758596.79,,,,,41619963600.21,31627585247.74,62559087.11,157543.27,,,,,,,,,412112726.32,9433638098.96,2813910696.54,-2969987487.64,239987687.91,,,-237337585.09,-965540774.33,853759.22,,,,,,,,7268464405.29,483387395.56,4619072.55,2196630.53,,,7747232728.3,1300620113.83,,,,6446612614.47,6402469985.64,,44142628.83,,,1.06,1.06,11676953.24,12288825.01,-611871.77,6458289567.71,6414758810.65,43530757.06,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160331,25097989317.08,24640675696.66,456997182.41,,316438.01,,,,,21357041647.68,16447367519.51,46579095.13,81926.73,,,,,,,,,134901522.33,4429034624.25,1219544971.96,-1087219105.48,166751093.25,,,201130733.77,-319333465.74,94388.78,,,,,,,,3622744937.43,181135594.37,3255367.71,1499106.11,,,3800625164.09,624228422.05,,,,3176396742.04,3159816132.99,,16580609.05,,,0.53,0.53,11171486.04,11544727.39,-373241.35,3187568228.08,3171360860.38,16207367.7,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20151231,100564453646.56,97745137194.16,2816215388.45,,3101063.95,,,,,86134609086.8,66017353745.09,652352307.92,399791.57,,,,,,,,,751894199.95,15506341694.21,5048746635.48,-1928797250.18,86317962.76,,,-1010322499.17,96654919.95,3246089.3,,,,,,,,13516176980.54,1404291659.85,11049178.36,9118859.43,,,14909419462.03,2285686841.81,,,,12623732620.22,12532442817.66,,91289802.56,,,2.08,2.08,-139722316.44,-142675233.57,2952917.13,12484010303.78,12389767584.09,94242719.69,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150930,83675114800.17,81522864024.27,2149367924.05,,2882851.85,,,,,71999592131.95,55332464538.9,544562282.65,343639.49,,,,,,,,,492043907.32,13373420047.25,3597077658.06,-1393758064.17,53438122.45,,,-304689414.22,106654244.76,-3752020.87,,,,,,,,11477487498.76,482442956.25,9145316.05,7511134.85,,,11950785138.96,1927649997.37,,,,10023135141.59,9952721455.33,,70413686.26,,,1.65,1.65,-148887425.04,-150543235.27,1655810.23,9874247716.55,9802178220.06,72069496.49,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150630,51610345165.17,50111182380.96,1497536160.41,,1626623.8,,,,,45417783718.5,36035419287.01,419662664.97,264675.93,,,,,,,,,339371356.32,6341487172.08,2358797380.44,-239477195.07,162258376.82,,,308048274.82,88737780.08,-2477694.05,,,,,,,,6589347501.57,240104898.25,6154614.28,5220972.33,,,6823297785.54,1055369151.15,,,,5767928634.39,5720753670.87,,47174963.52,,,1.9,1.9,266015071.39,265012981.43,1002089.96,6033943705.78,5985766652.3,48177053.48,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150331,25093631873.37,24503900149.25,588341647.14,,1390076.98,,,,,21870671146.58,16609705448.63,197271515.36,95184.43,,,,,,,,,160233506.55,3820858358.26,1189523439.35,-219586313.18,112570007.18,,,149897380.21,-59324493.89,-4197172,,,,,,,,3313533613.11,43940988.06,2999065.34,2734111.33,,,3354475535.83,564570482.49,,,,2789905053.34,2775358656.61,,14546396.73,,,0.92,0.92,3005026.59,3416330.54,-411303.95,2792910079.93,2778774987.15,14135092.78,,,,,,,,,,,,,,,,,,,,,,,,
