"报表日期","货币资金","交易性金融资产","应收票据","应收账款","预付款项","应收保费","应收利息","应收股利","其他应收款","应收出口退税","应收补贴款","应收保证金","内部应收款","存货","待摊费用","待处理流动资产损益","一年内到期的非流动资产","其他流动资产","特殊处理本身不平流动资产","特殊处理格式不同流动资产","流动资产合计","发放贷款及垫款","可供出售金融资产","持有至到期投资","长期应收款","长期股权投资","其他长期投资","投资性房地产","固定资产原值","累计折旧","固定资产净值","固定资产减值准备","固定资产净额","在建工程","工程物资","固定资产清理","生产性生物资产","公益性生物资产","油气资产","无形资产","开发支出","商誉","长期待摊费用","股权分置流通权","递延所得税资产","其他非流动资产","特殊处理本身不平非流动资产","特殊处理格式不同非流动资产","非流动资产合计","特殊处理本身不平总资产","特殊处理格式不同总资产","资产总计","短期借款","交易性金融负债","应付票据","应付账款","预收款项","应付职工薪酬","应交税费","应付利息","应付股利","其他应交款","应付保证金","内部应付款","其他应付款","预提费用","预计流动负债","应付分保账款","国际票证结算","国内票证结算","一年内的递延收益","应付短期债券","一年内到期的非流动负债","其他流动负债","特殊处理本身不平流动负债","特殊处理格式不同流动负债","流动负债合计","长期借款","应付债券","长期应付款","专项应付款","预计非流动负债","长期递延收益","递延所得税负债","其他非流动负债","特殊处理本身不平长期负债","特殊处理格式不同长期负债","非流动负债合计","特殊处理本身不平负债合计","特殊处理格式不同负债合计","负债合计","实收资本(或股本)","资本公积","减：库存股","专项储备","盈余公积","一般风险准备","未确定的投资损失","未分配利润","拟分配现金股利","外币报表折算差额","特殊处理本身不平股东权益","特殊处理格式不同股东权益","归属于母公司股东权益合计","少数股东权益","特殊处理本身不平股东权益","特殊处理格式不平股东权益","所有者权益(或股东权益)合计","特殊处理本身不平负债及权益","特殊处理格式不同负债及权益","负债和所有者权益","结算备付金","拆出资金","衍生金融资产","应收分保账款","应收分保合同准备金","买入返售金融资产","向中央银行借款","吸收存款及同业存放","拆入资金","衍生金融负债","卖出回购金融资产款","应付手续费及佣金","保险合同准备金","代理买卖证券款","代理承销证券款"
20170930,1926831458.92,,34801375,2870276356.07,39674483.94,,,464755.18,429188564.51,,,,,861248521.22,,,46689439.43,514882479.38,,,6724057433.65,,326189040,,359142760.18,317209079.81,,19850047.8,,,,,1157502187.69,394594349.66,,,,,,975894864.63,602452731.35,1125709385.98,32777694.92,,159436163.77,25925770.74,,,5496684076.53,,,12220741510.18,325574100,,237225779.36,762996855.49,703037825.89,183564534,65494211.48,,,,,,534585233.3,,,,,,,,,,,,2812478539.52,462986803.78,,,,372440404.14,80934310.33,40439014.61,,,,956800532.86,,,3769279072.38,1388693628,5210731814.99,,,111245844.45,,,1549968572.59,,,,,8260371439.92,191090997.88,,,8451462437.8,,,12220741510.18,,,,,,,,,,,,,,,
20170630,2254863517.72,,11687952.72,2488684396.59,49644863.09,,,464755.18,336512653.59,,,,,832217506.25,,,46689439.43,362588827.58,,,6383353912.15,,298985000,,348942760.18,296207192.61,,20012104.74,1619795832.53,459534427.22,1160261405.31,,1160261405.31,332757194.65,,,,,,1028293277.32,480115889.69,1125709385.98,26339901.46,,159331749.67,25925770.74,,,5302881632.35,,,11686235544.5,321474100,,191286433.88,755919329.48,485357073.2,105833028.56,57410113,,,,,,485645389.51,,,,,,,,,,,,2402925467.63,470990555.36,,,,356124753.9,62809627.65,41369582.45,,,,931294519.36,,,3334219986.99,1388693628,5184362184.44,,,111245844.45,,,1488633291.25,,,,,8172716025.01,179299532.5,,,8352015557.51,,,11686235544.5,,,,,,,,,,,,,,,
20170331,2145026187.36,,23774633.89,2120315455.87,68721412.79,,,464755.18,359384670.82,,,,,656630586.75,,,46689439.43,142593362.71,,,5563600504.8,,298985000,,269696571.1,299574050.93,,20174161.68,,,,,1036846668.92,379410243.61,,,,,,1013524440.69,397498858.26,1125709385.98,16271784.78,,134369800.67,25887970.95,,,5017948937.57,,,10581549442.37,358900000,,164642648.62,872347615.47,428180346.25,33214155.75,19115011.08,,,,,,309003407.79,,,,,,,,,,,,2185403184.96,480355785.64,,,,213923641.67,54411318.73,43376036.78,,,,792066782.82,,,2977469967.78,1326490128,4425197404.55,,,111245844.45,,,1587677088.56,,,,,7450458963.21,153620511.38,,,7604079474.59,,,10581549442.37,,,,,,,,,,,,,,,
20161231,2540362526.09,,29556818.48,1797815618.09,54305987.7,,,464755.18,284485064.36,,,,,604036357.93,,,46689439.43,175168875.75,,,5532885443.01,,298985000,,279079931.1,289174050.93,,20336218.62,1454887644.12,395194153.71,1059693490.41,,1059693490.41,271336283.58,,,,,,1070726351.15,291117840.27,1125709385.98,14280052.06,,134725338.08,25893000,,,4881056942.18,,,10413942385.19,305900000,,296600722.03,616696377.52,470965199.38,230484971.26,143770102.49,1203319.44,,,,,455366092.15,,,,,,,,,,,,2520986784.27,370828362.36,,,,210877837.74,50386228.87,42091876.7,,,,674184305.67,,,3195171089.94,1315484994,4121270036.86,,,111245844.45,,,1513694400.6,,,,,7061438697.85,157332597.4,,,7218771295.25,,,10413942385.19,,,,,,,,,,,,,,,
20160930,2317310437.29,,11418073.38,1932708447.77,49062759.43,,,,263388547.64,,,,,376280155.22,,,,176681630.67,,,5126850051.4,,277985000,,134095299.01,303844828.57,,20498275.56,,,,,892090744.87,343098916.6,,,,,,687051947.42,368131979.86,703457279.93,12838781.29,,105353595.78,385085417.18,,,4233532066.07,,,9360382117.47,300900000,,167480334.15,578371905.14,378314656.86,105311606.26,21011868.42,,,,,,484253150.63,,,,,,,,,,,,2035643521.46,331859914.95,,,,205258183.21,35688035.56,44278598.45,,,,617084732.17,,,2652728253.63,1295496374,3736156778.09,,,98868073.75,,,1320116913.88,,,,,6450638139.72,257015724.12,,,6707653863.84,,,9360382117.47,,,,,,,,,,,,,,,
20160630,2338212356.94,,21701679.9,1936038408.55,30096988.42,,,,214524375.95,,,,,331007240.04,,,,210831667.88,,,5082412717.68,,274385000,,100057994.76,278342828.57,,20660332.5,1205807764.19,333562296.56,872245467.63,,872245467.63,298330975.49,,,,,,657094589.78,359225037.03,703457279.93,11412940.2,,105401242.32,512755706,,,4193369394.21,,,9275782111.89,472000000,,132001742.52,589391652.7,230654953.31,79969202.17,34355047.66,,,,,,489256163.19,,,,,,,,,,,,2027628761.55,316877759.25,,,,194592942.7,30513889.83,46021457.12,,,,588006048.9,,,2615634810.45,1293772444,3715342649.39,,,98868073.75,,,1297738095.14,,,,,6405721262.28,254426039.16,,,6660147301.44,,,9275782111.89,,,,,,,,,,,,,,,
20160331,2421811286.85,,19144079.83,1656729400.72,22480686.42,,,,152911263.01,,,,,356312044.99,,,,223709601.36,,,4853098363.18,,264385000,,55680757.76,258476919.78,,20822389.44,,,,,862823280.22,280293830.87,,,,,,646295263.4,288246469.67,493908297.62,11839039.13,,105321966.87,482127000,,,3770220214.76,,,8623318577.94,272000000,,128844510.96,781519005.45,248240789.44,42403336.83,31342399.15,,,,,,132128860.12,,,,,,,,,,,,1636478901.95,111877759.25,,,,159867636.01,27821318.22,38795251.85,,,,338361965.33,,,1974840867.28,1291906091,3770053522.96,,,98868073.75,,,1241501786.06,,,,,6402329473.77,246148236.89,,,6648477710.66,,,8623318577.94,,,,,,,,,,,,,,,
20151231,2644743656.07,,17797798.48,1429562774.73,16893190.83,,,,131592690.22,,,,,312675027.22,,,,213619782.25,,,4766884919.8,,249301840,,55680757.76,242663139.78,,20984446.38,1140826106.15,282482512.95,858343593.2,,858343593.2,197803245.76,,,,,,650111444.86,255677337.04,493908297.63,11458916.4,,105396421.62,482127000,,,3623456440.43,,,8390341360.23,222000000,,200399055.9,568518997.53,225198582.66,120047855.51,63464492.74,,,,,,201413465.37,,,,,,,,,,,,1601042449.71,37437759.25,,,,156432568.27,35240700,37020326.97,,,,266131354.49,,,1867173804.2,1286626807,3711407207.79,,,98868073.75,,,1170832364.57,,,,,6267734453.11,255433102.92,,,6523167556.03,,,8390341360.23,,,,,,,,,,,,,,,
20150930,2482875985.16,,18145216.27,1615771492.82,31147803.6,,,,153826144.56,,,,,249945507.46,,,,240735155.15,,,4792447305.02,,166351200,,,222432874.19,,21146503.32,,,,,721622058.34,254660681.06,,,,,,636782154.47,200296154.05,499821603.57,11568456.93,,67057571.37,318032000,,,3119771257.3,,,7912218562.32,242000000,,115396796.76,549073871.31,217062036.83,83484250.68,45392198.68,,,,,,105915398,,,,,,,,,,,,1358324552.26,,,,,157854666.6,31957947.57,45355248.76,,,,235167862.93,,,1593492415.19,1285835210,3716460128.72,,,81092280.01,,,986961685.12,,,,,6070349303.85,248376843.28,,,6318726147.13,,,7912218562.32,,,,,,,,,,,,,,,
20150630,736825337.96,,17368116.22,1487029060.3,25063340.31,,,,150555280.11,,,,,288359588.09,,,,16440756.56,,,2721641479.55,,150867500,,,53100891.14,,21308560.26,947504038.63,237305951.23,710198087.4,,710198087.4,144877896.92,,,,,,671141958.56,141099387.63,493908297.63,11549749.74,,67132099.32,318032000,,,2783216428.6,,,5504857908.15,199000000,,176790923.86,500021616.46,121759156.23,51477390.39,41837649.6,,,,,,96229944.29,,,,,,,,,,,,1187116680.83,,,,,143633105.97,30144023.66,42926992.29,,,,216704121.92,,,1403820802.75,1215221729,1657287645.33,,,81092280.01,,,906405961.94,,,,,3860007616.28,241029489.12,,,4101037105.4,,,5504857908.15,,,,,,,,,,,,,,,
20150331,685029900.23,,15361026.88,1261689244.67,48260868.53,,,,139529236.72,,,,,216186892.46,,,,15126804.75,,,2381183974.24,,125870000,,,19238404.51,,21470617.2,,,,,708909663.19,134921694.54,,,,,,695434357.51,116332299.73,493908297.63,12234989.14,,61158109.59,318032000,,,2707510433.04,,,5088694407.28,9000000,,101907264.87,441602021.66,100630703.22,23878876.71,29054878,,,,,,111686388.43,,,,,,,,,,,,817760132.89,,,,,141392449.05,40630374.7,36818253.14,,,,218841076.89,,,1036601209.78,807851094,2023190858.26,,,81571999.69,,,950598166.45,,,,,3863212118.4,188881079.1,,,4052093197.5,,,5088694407.28,,,,,,,,,,,,,,,
20141231,1067008763.68,,13468357.68,1192225160.12,10830213.4,,,,83162061.4,,,,,180646971.63,,,,17204474.62,,,2564546002.53,,125870000,,,19238404.51,,21632674.14,904794741.24,195051283.16,709743458.08,,709743458.08,57073887.07,,,,,,608246614.95,176856878.24,493908297.63,13193126.17,,61554564.34,318032000,,,2605349905.13,,,5169895907.66,9000000,,136556684.98,467791062.46,134944945.3,85950266.98,81435050.83,49071.73,,,,,160192950.47,,,,,,,,,,,,1075920032.75,,,,,120819188.1,37669392.42,34068107.13,,,,192556687.65,,,1268476720.4,802987284,1938056749.55,,,81571999.69,,,884011613.19,,,,,3706627646.43,194791540.83,,,3901419187.26,,,5169895907.66,,,,,,,,,,,,,,,
20140930,1121427807.83,,13101389.25,1133480062.35,12135031.24,,,,92215017.76,,,,,115920335.61,,,,89941506.19,,,2578221150.23,,105870000,,,23976717.96,,21794731.08,,,,,522023896.02,187553323.06,,,,,,567274265.19,178836524.03,353692091.42,6202752.42,,38748978.82,150000000,,,2155973280,,,4734194430.23,,,129547554.53,359264989.48,213619568.89,45646653.87,26945180.98,,207586.35,,,,100336720.96,,,,,,,,,,,,875568255.06,,,,,105555054.11,,39576684.64,21636440.59,,,166768179.34,,,1042336434.4,801744741,1925032421.69,,,63788400.15,,,720449242.75,,,,,3511014805.59,180843190.24,,,3691857995.83,,,4734194430.23,,,,,,,,,,,,,,,
20140630,1224099646.76,,8339181.02,882796762.91,7238188.36,,,,82548561.87,,,,,122018060.3,,,,196285101.8,,,2523325503.02,,,,,33379610.48,,21956788.02,671030759.91,163160768.67,507869991.24,,507869991.24,136951852.11,,,,,,511361211.17,192432622.57,353597751.56,6099488.23,,38835205.67,,,,1802484521.05,,,4325810024.07,,,49038159.99,354920173.51,95605874.1,32871607.45,16258441.31,,347994.08,,,,62868089.05,,,,,,,,,,,,611910339.49,,,,,86042449.42,,33567801.52,24714727.44,,,144324978.38,,,756235317.87,801501746,1914508899.04,,,63788400.15,,,639159665.42,,,,,3418958710.61,150615995.59,,,3569574706.2,,,4325810024.07,,,,,,,,,,,,,,,
