"报表期起始日","报表期截止日","销售商品、提供劳务收到的现金","客户存款和同业存放款项净增加","向中央银行借款净增加额","向其他金融机构拆入资金净增加","收到原保险合同保费取得的现金","收到再保险业务现金净额","保户储金及投资款净增加额","处置交易性金融资产净增加额","收取利息、手续费及佣金的现金","拆入资金净增加额","回购业务资金净增加额","收到的税费返还","收到的其他与经营活动有关的现","特殊处理本身不平经营流入","特殊处理格式不同经营流入","经营活动现金流入小计","购买商品、接受劳务支付的现金","客户贷款及垫款净增加额","存放中央银行和同业款项净增加","支付原保险合同赔付款项的现金","支付利息、手续费及佣金的现金","支付保单红利的现金","支付给职工以及为职工支付的现","支付的各项税费","支付的其他与经营活动有关的现","特殊处理本身不平经营流出","特殊处理格式不同经营流出","经营活动现金流出小计","特殊处理本身不平经营净额","特殊处理格式不同经营净额","一、经营活动产生的现金流量净","收回投资所收到的现金","取得投资收益收到的现金","处置固定资产、无形资产和其他","处置子公司及其他营业单位收到","收到的其他与投资活动有关的现","减少质押和定期存款所收到的现","特殊处理本身不平投资流入","特殊处理格式不同投资流入","投资活动现金流入小计","购建固定资产、无形资产和其他","投资所支付的现金","质押贷款净增加额","取得子公司及其他营业单位支付","支付的其他与投资活动有关的现","增加质押和定期存款所支付的现","特殊处理本身不平投资流出","特殊处理格式不同投资流出","投资活动现金流出小计","特殊处理本身不平投资净额","特殊处理格式不同投资净额","二、投资活动产生的现金流量净","吸收投资收到的现金","其中：子公司吸收少数股东投资","取得借款收到的现金","发行债券收到的现金","收到其他与筹资活动有关的现金","特殊处理本身不平筹资流入","特殊处理格式不同筹资流入","筹资活动现金流入小计","偿还债务支付的现金","分配股利、利润或偿付利息所支","其中：子公司支付给少数股东的","支付其他与筹资活动有关的现金","特殊处理本身不平筹资流出","特殊处理格式不同筹资流出","筹资活动现金流出小计","特殊处理本身不平筹资净额","特殊处理格式不同筹资净额","三、筹资活动产生的现金流量净","四、汇率变动对现金及现金等价","特殊处理本身不平现金净额","特殊处理格式不同现金净额","五、现金及现金等价物净增加额","期初现金及现金等价物余额","特殊处理本身不平现金期末","特殊处理格式不同现金期末","六、期末现金及现金等价物余额","净利润","少数股东权益","未确认的投资损失","资产减值准备","固定资产折旧、油气资产折耗、","投资性房地产折旧、摊销","无形资产摊销","长期待摊费用摊销","待摊费用的减少","预提费用的增加","处置固定资产、无形资产和其他","固定资产报废损失","公允价值变动损失","递延收益增加（减：减少）","预计负债","财务费用","投资损失","递延所得税资产减少","递延所得税负债增加","存货的减少","经营性应收项目的减少","经营性应付项目的增加","已完工尚未结算款的减少(减:","已结算尚未完工款的增加(减:","其他","特殊处理本身不平经营净额附表","特殊处理格式不同经营净额附表","经营活动产生现金流量净额","债务转为资本","一年内到期的可转换公司债券","融资租入固定资产","现金的期末余额","现金的期初余额","现金等价物的期末余额","现金等价物的期初余额","特殊处理本身不平现金净额附表","特殊处理格式不同现金净额附表","现金及现金等价物的净增加额"
20170101,20170930,2796896169.09,,,,,,,,,,,57514899.28,88467487.88,,,2942878556.25,1814618328.6,,,,,,825188309.04,282827850.77,667657236.12,,,3590291724.53,,,-647413168.28,323500099.11,7799316.13,377381.56,,45505802.85,,,,377182599.65,730571811.25,931973451.07,,,,,,,1662545262.32,,,-1285362662.67,1248462926.6,47860004.52,160887541.42,,189980000,,,1599330468.02,53900000,150934358.16,,73918356.5,,,278752714.66,,,1320577753.36,,,,-612198077.59,2500326476.31,,,1888128398.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1888128398.72,2500326476.31,,,,,-612198077.59
20170101,20170630,1506634683.1,,,,,,,,,,,33973817.66,43156581.49,,,1583765082.25,1174598276.92,,,,,,540326836.29,206323118.41,393674548.47,,,2314922780.09,,,-731157697.84,,599382.02,382555.11,,22752939.59,,,,23734876.72,509345399.93,396522797.77,,,,,,,905868197.7,,,-882133320.98,1242471907.61,46510004.52,145736293,,189980000,,,1578188200.61,30000000,145144844.08,,73918356.5,,,249063200.58,,,1329125000.03,,,,-284166018.79,2500326476.31,,,2216160457.52,101100616.36,,,52329355.42,58681452.13,,120080848.47,2857733.75,,,102101.07,,,,,-11382634.15,2653230.44,-24606411.59,-722294.25,-228181148.32,-754230523.69,-49840023.48,,,,,,-731157697.84,,,,2216160457.52,2500326476.31,,,,,-284166018.79
20170101,20170331,602491825.31,,,,,,,,,,,13244148.97,24702311.59,,,640438285.87,439219636.48,,,,,,314278096.41,151109991.07,219515479.84,,,1124123203.8,,,-483684917.93,22000000,184772.58,445595.08,,20691448.09,,,,43321815.75,279812415.02,107538761.74,,,,,,,387351176.76,,,-344029361.01,347602806.14,2870000,162527423.28,,1800000,,,511930229.42,,5633932.71,,73918356.5,,,79552289.21,,,432377940.21,,,,-395336338.73,2501138716.31,,,2105802377.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2105802377.58,2501138716.31,,,,,-395336338.73
20160101,20161231,3294329943.08,,,,,,,,,,,52289437.59,167883290.94,,,3514502671.61,1761290770.29,,,,,,685422404.66,190768925.01,577716593.66,,,3215198693.62,,,299303977.99,371000000,24597813.02,3973512.8,-1628030.5,56021850.63,,,,453965145.95,1065002410.11,195615702.33,,115855489.23,,,,,1376473601.67,,,-922508455.72,143475730.24,7936076,721747155.7,,51511260.26,,,916734146.2,284100000,153770612.59,,254255.69,,,438124868.28,,,478609277.92,178020.05,,,-144417179.76,2644743656.07,,,2500326476.31,496778331.51,,,65609414.58,113099971.43,,201049787.83,3949454.41,,,7742368.83,,,,,-35539197.89,-146560792.91,-26695410.39,464774.99,-266637171.51,-789308401.46,675350848.57,,,,,,299303977.99,,,,2500326476.31,2644743656.07,,,,,-144417179.76
20160101,20160930,1921782142.17,,,,,,,,,,,32916221.79,117780420.73,,,2072478784.69,1187808448.72,,,,,,484569952.07,202619994.76,547573292.92,,,2422571688.47,,,-350092903.78,471500000,31950250.46,63336.64,,45869871.25,,,,549383458.35,634574178.73,280740128.93,,119922164.8,,,,,1035236472.46,,,-485853014.11,90665153.95,6636076,544422155.7,,189980000,,,825067309.65,174772339,141782271.54,,,,,316554610.54,,,508512699.11,,,,-327433218.78,2644743656.07,,,2317310437.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2317310437.29,2644743656.07,,,,,-327433218.78
20160101,20160630,1018469601.04,,,,,,,,,,,21257076.06,39836977.61,,,1079563654.71,806634046.75,,,,,,318403598.34,148890030.1,262346262.44,,,1536273937.63,,,-456710282.92,175000000,14469217.84,72821,,20387543.59,,,,209929582.43,461682108.01,134637118.93,,119922164.8,,,,,716241391.74,,,-506311809.31,62868940.88,2870000,529440000,,199980000,,,792288940.88,,135798147.78,,,,,135798147.78,,,656490793.1,,,,-306531299.13,2644743656.07,,,2338212356.94,248198167.31,,,47557197.02,23993946.6,,24449789.4,636913.26,,,270378.95,,,,,-13528491.41,-124033551.85,1449178.1,9001130.15,-14345800.14,-610773975.91,-49585164.4,,,,,,-456710282.92,,,,2338212356.94,2644743656.07,,,,,-306531299.13
20160101,20160331,490143646.09,,,,,,,,,,,9906310.11,35012039.92,,,535061996.12,287932926.98,,,,,,199267994.74,96332493.19,133671883.9,,,717205298.81,,,-182143302.69,,7882309.63,1180,,13241361.6,,,,21124851.23,191790720.99,49448160,,,,,,,241238880.99,,,-220114029.76,57429507.85,,124440000,,,,,181869507.85,,2544544.62,,,,,2544544.62,,,179324963.23,,,,-222932369.22,2644743656.07,,,2421811286.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2421811286.85,2644743656.07,,,,,-222932369.22
20150101,20151231,2398954037.11,,,,,,,,,,,56960757.41,176530579.76,,,2632445374.28,1185681755.76,,,,,,357832784.62,203236813.62,370092388.88,,,2116843742.88,,,515601631.4,4500000,28615194.02,376781.41,-679037.52,47843953.41,,,,80656891.32,889956549.3,547302305.05,,,,,,,1437258854.35,,,-1356601963.03,2306578386.81,49279819.39,268587759.25,,2637593.37,,,2577803739.43,21540000,132916220.15,,4355628.31,,,158811848.46,,,2418991890.97,-256666.95,,,1577734892.39,1067008763.68,,,2644743656.07,436584277.88,,,38391281.59,86104979.88,,179515184.59,3896801.77,,,-113862.09,,,,,-39375128.24,-39112929.33,-44892357.08,2952219.84,-137087798.33,-414860692.23,441187075.5,,,2412577.65,,,515601631.4,,,,2644743656.07,1067008763.68,,,,,1577734892.39
20150101,20150930,1534630369.26,,,,,,,,,,,46166310.52,249572172.39,,,1830368852.17,891138721.65,,,,,,294428237.69,169308098.69,429529100.64,,,1784404158.67,,,45964693.5,1000000,21075732.66,165289.94,-2612636.13,37879891.86,,,,57508278.33,584198147.94,495429416.43,,31224879.38,,,,,1110852443.75,,,-1053344165.42,2319931942.55,48500000,369400000,,,,,2689331942.55,135485743.33,128602003.01,,1997502.81,,,266085249.15,,,2423246693.4,,,,1415867221.48,1067008763.68,,,2482875985.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2482875985.16,1067008763.68,,,,,1415867221.48
20150101,20150630,865097588.45,,,,,,,,,,,24695419.21,55367250,,,945160257.66,551116499.58,,,,,,207024332.08,125953187.46,155466663.5,,,1039560682.62,,,-94400424.96,9000000,14079995.67,119397.3,-2612636.13,15241878.67,,,,35828635.51,434054539.78,76612424,,22601158,,,,,533268121.78,,,-497439486.27,194185243.51,48000000,196300000,,,,,390485243.51,6179372.5,122115914.32,,533471.18,,,128828758,,,261656485.51,,,,-330183425.72,1067008763.68,,,736825337.96,141157126.67,,,29419729.1,38938419.26,,84101991.29,2144263.43,,,-23984.1,-39927.42,,,,-12992306.57,-12005408.63,-6628034.78,8858885.16,-112028689.12,-407726594.8,152424105.55,,,,,,-94400424.96,,,,736825337.96,1067008763.68,,,,,-330183425.72
